" Indywidualne Mistrzostwa Polski Młodziczek
Tuchola 26-27.11.2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.,Kaluszka Monika,KS Pilica Tomaszów Mazowiecki,88,26,6,114,83,26,4,109,78,34,0,112,78,41,1,119,327,127,11,454,67,23,6,90,85,24,6,109,78,35,1,113,75,42,3,117,305,124,16,429,632,251,27,883
11.,Dziamska Iwona,OSiR Vector Tarnowo Podgórne,75,51,1,126,61,32,3,93,70,20,5,90,92,32,2,124,298,135,11,433,75,35,2,110,74,33,3,107,78,24,4,102,78,42,4,120,305,134,13,439,603,269,24,872
12.,Schweissing Natalia,MLKS Tucholanka Tuchola,78,26,3,104,82,27,6,109,75,27,3,102,88,35,3,123,323,115,15,438,75,26,4,101,77,35,2,112,72,33,4,105,82,31,3,113,306,125,13,431,629,240,28,869
13.,Fojud Aleksandra,KK Dziewiątka-Amica Wronki,76,27,3,103,88,42,2,130,73,15,8,88,78,22,4,100,315,106,17,421,77,35,4,112,76,25,4,101,74,36,2,110,82,17,6,99,309,113,16,422,624,219,33,843
14.,Klimek Kinga,KS Pilica Tomaszów Mazowiecki,80,26,8,106,78,37,2,115,76,17,7,93,74,42,0,116,308,122,17,430,76,42,3,118,87,17,8,104,74,22,7,96,69,21,6,90,306,102,24,408,614,224,41,838
15.,Kucz Zuzanna,OSiR Vector Tarnowo Podgórne,78,27,6,105,72,36,3,108,79,39,2,118,70,25,7,95,299,127,18,426,69,35,0,104,62,22,7,84,63,34,4,97,70,24,3,94,264,115,14,379,563,242,32,805
16.,Sygitowicz Oliwia,KS Pilica Tomaszów Mazowiecki,90,34,5,124,68,25,7,93,73,27,2,100,75,26,4,101,306,112,18,418,,,,,,,,,,,,,,,,,,,,,306,112,18,418
17.,Przybyła Nikola,KS Pilica Tomaszów Mazowiecki,77,34,5,111,73,35,4,108,71,17,6,88,76,24,6,100,297,110,21,407,,,,,,,,,,,,,,,,,,,,,297,110,21,407
18.,Mormus Natalia,KS Pilica Tomaszów Mazowiecki,75,24,5,99,86,31,5,117,72,24,6,96,70,22,7,92,303,101,23,404,,,,,,,,,,,,,,,,,,,,,303,101,23,404
19.,Przybyła Aleksandra,KS Pilica Tomaszów Mazowiecki,82,26,4,108,67,26,4,93,73,27,4,100,72,27,3,99,294,106,15,400,,,,,,,,,,,,,,,,,,,,,294,106,15,400
20.,Ryś Sandra,OSiR Vector Tarnowo Podgórne,75,24,6,99,74,26,6,100,57,35,6,92,58,24,9,82,264,109,27,373,,,,,,,,,,,,,,,,,,,,,264,109,27,373
21.,Król Wiktoria,KS Pilica Tomaszów Mazowiecki,72,16,8,88,76,27,7,103,77,21,6,98,66,18,8,84,291,82,29,373,,,,,,,,,,,,,,,,,,,,,291,82,29,373
22.,Wysocka Magdalena,MLKS Tucholanka Tuchola,66,18,7,84,79,17,7,96,67,26,7,93,78,16,6,94,290,77,27,367,,,,,,,,,,,,,,,,,,,,,290,77,27,367
23.,Jackowska Daria,UKS Jedynka Świebodzice,57,27,6,84,74,8,11,82,55,18,9,73,61,17,12,78,247,70,38,317,,,,,,,,,,,,,,,,,,,,,247,70,38,317
